"streetname";"place";"Type"
"Aagjesboomgaard";"Vleuten";"Road"
"Aakplein";"Utrecht";"Road"
"Aalbersestraat";"Utrecht";"Road"
"Aalscholverhof";"Utrecht";"Road"
"Aardaker";"De Meern";"Road"
"Aardbeistraat";"Utrecht";"Road"
"Aarhuslaan";"Utrecht";"Road"
"Aart den Doolaardpad";"Utrecht";"Road"
"Aart van der Leeuwlaan";"De Meern";"Road"
"Aartsbisschop Romerostraat";"Utrecht";"Road"
"Ab Harrewijnstraat";"Utrecht";"Road"
"A.B.C.-straat";"Utrecht";"Road"
"Abeelstraat";"Utrecht";"Road"
"Abel Tasmanbrug";"Utrecht";"Art"
"Abel Tasmanstraat";"Utrecht";"Road"
"Abr. Bloemaertbrug";"Utrecht";"Art"
"Abraham Bloemaertstraat";"Utrecht";"Road"
"Abraham Dolehof";"Utrecht";"Road"
"Abraham Dolesteeg";"Utrecht";"Road"
"Abraham Keerstraat";"Utrecht";"Road"
"Abraham Kuijperstraat";"Utrecht";"Road"
"Abrikoosstraat";"Utrecht";"Road"
"Abstederbrug";"Utrecht";"Art"
"Abstederdijk";"Utrecht";"Road"
"Abstederhof";"Utrecht";"Road"
"Acaciastraat";"Utrecht";"Road"
"Acapulcodreef";"Utrecht";"Road"
"Achillesdreef";"Utrecht";"Road"
"Achilleskruid";"De Meern";"Road"
"Achter Clarenburg";"Utrecht";"Road"
"Achter de Dom";"Utrecht";"Road"
"Achter St.-Pieter";"Utrecht";"Road"
"Achterom";"Utrecht";"Road"
"Achtkantenmolenvliet";"De Meern";"Water"
"Achttienhovensedijk";"Utrecht";"Road"
"Adam van Harenhof";"Utrecht";"Road"
"Adam van Harenstraat";"Utrecht";"Road"
"Adama van Scheltemabaan";"Utrecht";"Road"
"Adderwortel";"De Meern";"Road"
"Adelaarhof";"Utrecht";"Road"
"Adelaarstraat";"Utrecht";"Road"
"Adelboldstraat";"Utrecht";"Road"
"Adenauerlaan";"Utrecht";"Road"
"Adikade";"Utrecht";"Road"
"Admiraal Helfrichlaan";"Utrecht";"Road"
"Admiraal Helfrichstraat";"De Meern";"Road"
"Admiraal van Gentstraat";"Utrecht";"Road"
"Adonisdreef";"Utrecht";"Road"
"Adriaan Menninckkwartier";"Utrecht";"Road"
"Adriaan Morriënlaan";"De Meern";"Road"
"Adriaan Mulderstraat";"Utrecht";"Road"
"Adriaan van Bergenplein";"Utrecht";"Road"
"Adriaan van Bergenstraat";"Utrecht";"Road"
"Adriaan van Zwietenstraat";"Utrecht";"Road"
"Adriaanstraat";"Utrecht";"Road"
"Adriaen Beyerkade";"Utrecht";"Road"
"Adriaen van Ostadelaan";"Utrecht";"Road"
"Afrikalaan";"Utrecht";"Road"
"Agaatlaan";"Utrecht";"Road"
"Agaatvlindersingel";"Utrecht";"Road"
"Agamemnondreef";"Utrecht";"Road"
"Agavedreef";"Utrecht";"Road"
"Agilioweg";"De Meern";"Road"
"Agnes van Leeuwenberchstraat";"Utrecht";"Road"
"Agnietenstraat";"Utrecht";"Road"
"Agostinho Netostraat";"Utrecht";"Road"
"A.H.G. Fokkerstraat";"Utrecht";"Road"
"Ahornstraat";"Utrecht";"Road"
"Aidadreef";"Utrecht";"Road"
"Ajaxdreef";"Utrecht";"Road"
"Akkerdistel";"De Meern";"Road"
"Akkrumerraklaan";"Utrecht";"Road"
"Albanusweg";"De Meern";"Road"
"Albatrosbrug";"Utrecht";"Art"
"Albatrosstraat";"Utrecht";"Road"
"Alberdingk Thijmstraat";"Utrecht";"Road"
"Albert Neuhuysstraat";"Utrecht";"Road"
"Albert Schweitzerdreef";"Utrecht";"Road"
"Albert Schweitzerhof";"Vleuten";"Road"
"Albert Schweitzerlaan";"Vleuten";"Road"
"Albert van Dalsumlaan";"Utrecht";"Road"
"Albert Verweystraat";"Utrecht";"Road"
"Alblasstraat";"Utrecht";"Road"
"Albrachthof";"Utrecht";"Road"
"Albrecht Thaerlaan";"Utrecht";"Road"
"Aldo van Eyckplantsoen";"Utrecht";"Road"
"Alendorper Wetering";"De Meern";"Water"
"Alendorper Wetering";"Utrecht";"Water"
"Alendorper wetering";"Vleuten";"Water"
"Alendorperplaats";"De Meern";"Road"
"Alendorperplaats";"Vleuten";"Road"
"Alendorperweg";"Vleuten";"Road"
"Alendorperweg";"Utrecht";"Road"
"Alendorpstraat";"Utrecht";"Road"
"Alenveltpark";"Vleuten";"Road"
"Aleppodreef";"Utrecht";"Road"
"Aletta Jacobshaghe";"Utrecht";"Road"
"Aletta Jacobspad";"Utrecht";"Road"
"Alexander de Grotelaan";"Utrecht";"Road"
"Alexander Numankade";"Utrecht";"Road"
