BAG-nr openbare ruimte,Straatcode,Openbare ruimtenaam BAG,Woonplaats,Type
0344300000002231,17877,Aagjesboomgaard,Vleuten,Weg
0344300000000293,10,Aakplein,Utrecht,Weg
0344300000001435,20,Aalbersestraat,Utrecht,Weg
0344300000003577,30,Aalscholverhof,Utrecht,Weg
0344300000002277,17035,Aardaker,De Meern,Weg
0344300000002406,40,Aardbeistraat,Utrecht,Weg
0344300000001887,42,Aarhuslaan,Utrecht,Weg
0344300000002045,8714,Aart den Doolaardpad,Utrecht,Weg
0344300000002639,8715,Aart van der Leeuwlaan,De Meern,Weg
0344300000001638,13274,Aartsbisschop Romerostraat,Utrecht,Weg
0344300000001745,5515,Ab Harrewijnstraat,Utrecht,Weg
0344300000000291,50,A.B.C.-straat,Utrecht,Weg
0344300000000294,70,Abeelstraat,Utrecht,Weg
0344300000003443,18501,Abel Tasmanbrug,Utrecht,Kunstwerk
0344300000003351,15070,Abel Tasmanstraat,Utrecht,Weg
0344300000001717,18502,Abr. Bloemaertbrug,Utrecht,Kunstwerk
0344300000000295,1750,Abraham Bloemaertstraat,Utrecht,Weg
0344300000002407,85,Abraham Dolehof,Utrecht,Weg
0344300000000296,90,Abraham Dolesteeg,Utrecht,Weg
0344300000000297,7257,Abraham Keerstraat,Utrecht,Weg
0344300000002408,8310,Abraham Kuijperstraat,Utrecht,Weg
0344300000000298,100,Abrikoosstraat,Utrecht,Weg
0344300000001718,18503,Abstederbrug,Utrecht,Kunstwerk
0344300000000299,110,Abstederdijk,Utrecht,Weg
0344300000000300,113,Abstederhof,Utrecht,Weg
0344300000000301,120,Acaciastraat,Utrecht,Weg
0344300000002409,125,Acapulcodreef,Utrecht,Weg
0344300000000302,130,Achillesdreef,Utrecht,Weg
0344300000002300,17072,Achilleskruid,De Meern,Weg
0344300000002932,140,Achter Clarenburg,Utrecht,Weg
0344300000000303,150,Achter de Dom,Utrecht,Weg
0344300000002410,170,Achter St.-Pieter,Utrecht,Weg
0344300000000304,160,Achterom,Utrecht,Weg
